ID,Days,BPD
3584,18200.0,0.0
3584,18210.0,289.0
3584,18220.0,282.4
3584,18230.0,325.1
3584,18240.0,305.3
3584,18250.0,269.1
3584,18260.0,287.9
3584,18270.0,304.7
3584,18280.0,364.0
3584,18290.0,313.4
3584,18300.0,340.7
3584,18310.0,289.3
3584,18320.0,354.8
3584,18330.0,295.2
3584,18340.0,310.9
3584,18350.0,401.8
3584,18360.0,290.8
3584,18370.0,251.4
3584,18380.0,96.6
3584,18390.0,204.8
3584,18400.0,241.4
3584,18410.0,249.1
3584,18420.0,239.3
3584,18430.0,211.7
3584,18440.0,181.9
3584,18450.0,250.1
3584,18460.0,185.8
3584,18470.0,243.8
3584,18480.0,274.0
3584,18490.0,313.9
3584,18500.0,292.2
3584,18510.0,268.6
3584,18520.0,250.0
3584,18530.0,300.8
3584,18540.0,293.1
3584,18550.0,274.7
3584,18560.0,258.0
3584,18570.0,309.5
3584,18580.0,305.2
3584,18590.0,208.9
3584,18600.0,288.1
3584,18610.0,310.3
3584,18620.0,219.0
3584,18630.0,262.1
3584,18640.0,141.5
3584,18650.0,281.8
3584,18660.0,278.7
3584,18670.0,277.0
3584,18680.0,96.2
3584,18690.0,349.9
3584,18700.0,259.5
3584,18710.0,272.7
3584,18720.0,281.3
3584,18730.0,218.4
3584,18740.0,217.4
3584,18750.0,249.5
3584,18760.0,217.9
3584,18770.0,204.9
3584,18780.0,237.9
3584,18790.0,265.9
3584,18800.0,211.5
3584,18810.0,235.3
3584,18820.0,276.1
3584,18830.0,303.6
3584,18840.0,253.7
3584,18850.0,305.7
3584,18860.0,310.4
3584,18870.0,287.8
3584,18880.0,305.5
3584,18890.0,267.6
3584,18900.0,244.6
3584,18910.0,304.6
3584,18920.0,276.1
3584,18930.0,266.4
3584,18940.0,297.5
3584,18950.0,276.2
3584,18960.0,259.6
3584,18970.0,279.5
3584,18980.0,260.7
3584,18990.0,296.0
3584,19000.0,212.6
3584,19010.0,293.3
