InjectionWellId,UICNumber,APINumber,PermittedIntervalTopFt,PermittedIntervalBottomFt,PermittedMaxLiquidBPD,StartDate,SurfaceHoleLatitude,SurfaceHoleLongitude,CompletedWellDepthClassification,WellName
102803,115449,31741662.0,11180.0,13200.0,25000.0,2017-08-02,32.3205213,-101.8295599,Deep,3601 SWD 1
104057,122851,31700000.0,11500.0,14000.0,20000.0,2020-05-15,32.19197329,-101.90406482,Deep,SAGUARO SWD 1
86749,117513,31741454.0,12400.0,14163.0,40000.0,2018-12-31,32.36908062,-102.20028793,Deep,UNIVERSITY 7-31B SWD D1
87642,110306,32939612.0,13250.0,14500.0,25000.0,2014-07-01,32.01138718,-102.21951802,Deep,MIDLAND 817 SWD 1
91811,124241,41535539.0,7160.0,7555.0,20000.0,2020-08-14,32.69313673,-100.66454385,Deep,STRAWBERRY 87 1D
91963,124214,31700000.0,11500.0,14000.0,24500.0,2020-08-07,32.3064448,-102.0018458,Deep,TOUCAN SWD 1R
92272,116531,31741667.0,11150.0,12335.0,40000.0,2018-07-25,32.46687642,-101.7826337,Deep,RANCH WATER 24 SWD 1
93967,119160,31742189.0,13000.0,15000.0,20000.0,2019-09-13,32.138684,-102.18134,Deep,DIRT DEVIL 1D
95305,84728,31731433.0,4350.0,12200.0,6500.0,1996-04-30,32.35884299,-101.97661066,Deep,POE 1
96509,118124,10933604.0,14864.0,15877.0,45000.0,2019-04-11,31.998333,-104.061667,Deep,BOWSER SWD 1
96532,118229,31742064.0,12500.0,14800.0,50000.0,2019-04-17,32.35923007,-102.12833301,Deep,CAPRI SWD 1
96725,114289,31741196.0,10650.0,13500.0,40000.0,2016-09-19,32.4589536,-101.6938415,Deep,ATLANTIC SWD 1
96809,118483,22740024.0,7900.0,10600.0,45000.0,2019-05-22,32.4827334,-101.445976,Deep,OUTLAW 1SW
107294,116253,22740310.0,7800.0,13000.0,50000.0,2018-04-30,32.4337281,-101.3649085,Deep,HULL SWD 1
108111,113218,32940225.0,13120.0,13900.0,20000.0,2015-12-08,32.083022,-102.17099,Deep,NORTHWEST MIDLAND SWD 1WD
108128,101066,22733062.0,10100.0,10167.0,3000.0,2009-08-12,32.17796738,-101.57757928,Deep,"WALDRON, S. 7W"
108345,109487,30132092.0,4650.0,6350.0,20000.0,2014-02-24,31.82313007,-103.55507729,Deep,DIMMIT 28 2D
109280,116147,32942084.0,11820.0,13808.0,25000.0,2018-03-19,31.9286419,-101.9883962,Deep,"CASSIDY B"""" 2DD"
111338,117544,31741365.0,11777.0,13200.0,50000.0,2018-12-31,32.3743028,-101.9648944,Deep,PEELER D1
111806,117568,22739689.0,10871.0,11380.0,60000.0,2018-12-31,32.4162271,-101.6423453,Deep,HULKSTER SWD 1
112391,115188,22739079.0,10513.0,11510.0,25000.0,2017-05-10,32.23143495,-101.59309991,Deep,WALTERS SWD 1
112457,112750,15132739.0,4316.0,5977.0,8000.0,2015-08-18,32.71959265,-100.57788539,Deep,DALE CAVE 4R
112538,113831,22700000.0,5350.0,9600.0,25000.0,2016-05-17,32.4607253,-101.62842141,Deep,CHAMPAGNES SWD 1
104628,115844,22739417.0,10265.0,11113.0,50000.0,2017-12-13,32.3310983,-101.5367852,Deep,NEWTON 10 SWD 1
104862,117352,22739690.0,10500.0,13000.0,25000.0,2018-12-02,32.3457633,-101.6747925,Deep,FREE BURGER 2D
104995,118362,22735640.0,10100.0,10500.0,30000.0,2019-05-03,32.4361184,-101.4921689,Deep,IDEN 1
105427,115842,10933170.0,3100.0,5900.0,20000.0,2017-12-12,31.720471,-104.059582,Deep,SALT MINE SWD 1
106131,121022,15133139.0,7158.0,7556.0,20000.0,2020-02-11,32.70170415,-100.6229932,Deep,MASON 85 1D
106549,116313,31741240.0,12005.0,13277.0,50000.0,2018-05-21,32.3574908,-101.9817299,Deep,POE SWD D2
106649,116096,47500000.0,6500.0,8200.0,30000.0,2018-03-06,31.44260098,-103.27487752,Deep,ARCO 33-28 21D
106699,116122,22739437.0,10477.0,11289.0,50000.0,2018-03-09,32.31884,-101.58584,Deep,HYDRA SWD 1
107098,119003,31742100.0,12250.0,14500.0,30000.0,2019-08-07,32.477547,-102.156861,Deep,HERDING CATS 1D
109155,111185,31739364.0,12800.0,15500.0,30000.0,2014-11-04,32.24983278,-102.17482373,Deep,MABEE 239 1SW
96950,115301,22739144.0,10300.0,12000.0,25000.0,2017-06-05,32.363297,-101.521583,Deep,87 FAIRVIEW SWD 2
99951,104206,13541347.0,4800.0,15000.0,30000.0,2011-11-02,32.04968729,-102.33454794,Deep,"FEE BL"" SWD"" 1"
102309,119444,22740294.0,10400.0,11740.0,25000.0,2019-11-01,32.15274,-101.670908,Deep,FAUDREE 1D
103109,115451,22739105.0,10250.0,11500.0,25000.0,2017-08-02,32.31405217,-101.60506056,Deep,OVATION GUITAR SWD 2
103268,115616,22739299.0,8150.0,11500.0,30000.0,2017-09-13,32.48434778,-101.53821474,Deep,GRACELAND SWD 1
104288,115338,31740775.0,11618.0,13021.0,50000.0,2017-06-21,32.3796806,-101.935175,Deep,HECKER SWD RT D2
115131,114780,22738945.0,10380.0,12000.0,20000.0,2017-01-03,32.407044,-101.599098,Deep,KNOTT SWD 2
115132,114783,22738833.0,8900.0,12500.0,25000.0,2017-01-04,32.3879203,-101.5309781,Deep,GARRETT-SNELL UNIT B 36-25 1D
116568,116798,31741891.0,10500.0,13000.0,20000.0,2018-09-25,32.397183,-101.717739,Deep,7H SWD 1
117285,112276,30130197.0,5000.0,8600.0,25000.0,2015-03-26,31.65140549,-103.42108941,Deep,KEITH CAMP SWD 1
118274,118823,15133124.0,7000.0,7298.0,24500.0,2019-07-07,32.7709831,-100.64732056,Deep,EMILY SWD 1D
119624,118816,31742099.0,12000.0,14500.0,30000.0,2019-07-03,32.49027257,-102.13927841,Deep,BIG SIPPER 1D
110728,119129,31700000.0,12000.0,12400.0,30000.0,2019-09-06,32.11596543,-101.87087952,Deep,STANTON W. SWD 1
111295,117123,22740013.0,10250.0,13000.0,50000.0,2018-10-24,32.26872204,-101.66600439,Deep,AXIS SWD 1
112131,116511,41500013.0,7210.0,7500.0,20000.0,2018-07-20,32.748563,-100.667323,Deep,B.L. GARRISON 1
112132,116512,10933296.0,14793.0,17000.0,90000.0,2018-07-20,31.9026296,-104.0814245,Deep,HAY MARTIN 41 SWD 1
115623,115943,31700000.0,10600.0,12000.0,40000.0,2018-01-22,32.42519868,-101.731638,Deep,BLAGRAVE SWD 5 1
115892,117930,32332791.0,4835.0,5120.0,20000.0,2019-03-11,28.468239,-100.290118,Deep,GARY B 3H
116426,124532,31743097.0,10550.0,12300.0,80000.0,2021-01-08,32.42745011,-101.70707231,Deep,CANEBRAKE 1D
116476,113737,22738743.0,10150.0,13000.0,30000.0,2016-04-22,32.23989449,-101.60940222,Deep,RUSSELL SWD 1S
116526,116343,31741348.0,11410.0,13153.0,30000.0,2018-05-30,32.19086183,-101.94656951,Deep,SALE RANCH 27 1DD
117360,108115,10932532.0,13900.0,15000.0,50000.0,2013-09-17,31.95741941,-104.16849445,Deep,MIDDLEGROUND 16 FEE  SWD 3
117577,117855,22739875.0,10600.0,12000.0,30000.0,2019-03-04,32.44106046,-101.67486385,Deep,DIAMONDBACK-SMITH 2D
118580,120014,31742363.0,12800.0,15000.0,24950.0,2019-12-18,32.4016792,-101.9532035,Deep,GUS MCCREA SWD 2
104765,116559,31741389.0,12500.0,13884.0,24000.0,2018-07-31,32.140423,-102.15889,Deep,JOHNSON RANCH 16SW
104808,116842,31741474.0,10250.0,12587.0,30000.0,2018-10-02,32.367913,-101.724712,Deep,TENNISON 46 2D
106585,116597,32934484.0,11550.0,11966.0,10000.0,2018-08-08,31.739853,-102.212014,Deep,"SANDERS, JUNE T. 6H"
106912,112743,10932853.0,14550.0,16700.0,50000.0,2015-08-14,31.97327644,-104.09672587,Deep,HH SE 7 SWD 1
108123,111050,346648.0,12000.0,15000.0,30000.0,2014-10-20,32.26008335,-102.25290007,Deep,MABEE 240F 35SW
108189,113736,38935194.0,3100.0,6450.0,30000.0,2016-04-22,31.6211306,-104.01841814,Deep,BROKEN SPOKE SWD 1
109175,109778,47536617.0,6500.0,8800.0,30000.0,2014-04-09,31.4390476,-103.2793,Deep,ARCO 33-28 20D
110247,115339,31740776.0,12700.0,14200.0,40000.0,2017-06-21,32.3930105,-102.1732963,Deep,UNIVERSITY 7-27 SWD D2
110311,110589,10932704.0,12425.0,14500.0,25000.0,2014-07-29,31.94212818,-104.28739833,Deep,DR STATE EAST 20SW
120227,114611,31740569.0,13402.0,15000.0,10000.0,2016-11-28,32.1899963,-102.1875748,Deep,MABEE SWD 3
120561,120326,31742672.0,10600.0,11950.0,50000.0,2020-01-10,32.32257294,-101.71919977,Deep,WILKINSON RANCH 35 5D
120794,119931,10933539.0,14841.0,15930.0,100000.0,2019-12-16,31.97436588,-104.06308024,Deep,HAY LANDON 9 SWD 1
121296,101020,15132086.0,4340.0,4520.0,1500.0,2009-08-17,32.71965834,-100.58415003,Deep,"CAVE, DALE 2"
121298,115019,22739120.0,10400.0,11400.0,35000.0,2017-03-20,32.29065,-101.533019,Deep,LONG SWD 1
122033,111129,13543189.0,12800.0,14500.0,24000.0,2014-11-01,31.97545555,-102.3580457,Deep,RATLIFF A 3004SW
123836,124923,22700000.0,7800.0,13000.0,35000.0,2021-10-15,32.43268,-101.338715,Deep,STURM SWD 1
94025,105121,31737258.0,11745.0,12675.0,10000.0,2012-05-14,32.47818077,-102.09346936,Deep,"BREEDLOVE, F. D., -B- 49"
94854,114451,10932982.0,14740.0,15763.0,90000.0,2016-10-24,31.78707537,-104.12914838,Deep,MINE THAT BIRD 38 FEE SWD 9
95733,117758,32943129.0,13400.0,14500.0,30000.0,2019-02-10,31.99475959,-102.19518017,Deep,DYSON 1D
95888,120848,3332533.0,7450.0,12500.0,20000.0,2020-02-05,32.5698331,-101.3610064,Deep,MAD DOG SWD 1D
95933,109838,32939312.0,12310.0,15000.0,30000.0,2014-04-16,32.041412,-102.261877,Deep,M.F. KING SWD 2
95972,118554,10933473.0,11790.0,13790.0,70000.0,2019-05-07,31.87397,-104.28162,Deep,SIR BARTON 4 SWD 9
96910,115127,22738993.0,10340.0,12000.0,30000.0,2017-04-24,32.27939706,-101.5589035,Deep,GUITAR 12 SWD 1D
97819,115022,47530673.0,6500.0,8280.0,30000.0,2017-03-20,31.4245144,-103.29132834,Deep,ARCO STATE 1028D
98923,122870,31700000.0,11500.0,14000.0,40000.0,2020-05-18,32.17910509,-101.89952691,Deep,PALO VERDE SWD 1
110420,108807,31739040.0,11900.0,14900.0,30000.0,2013-12-02,32.1981541,-102.1925617,Deep,MABEE SOUTH SWD 2
111999,114152,22739387.0,7825.0,13000.0,35000.0,2016-07-27,32.458605,-101.425528,Deep,846 SWD 1
112074,116428,347807.0,12530.0,14180.0,30000.0,2018-06-28,32.4389595,-102.243603,Deep,QUEEN BEE SWD 1
112328,115114,31740809.0,11600.0,13500.0,40000.0,2017-04-19,32.3356715,-101.89145114,Deep,BROWN SWD 1
113623,115427,22739585.0,9700.0,11250.0,35000.0,2017-07-25,32.29588898,-101.46918199,Deep,SCREAMIN' EAGLE SWD 1
113680,115771,22739281.0,10000.0,12200.0,30000.0,2017-11-14,32.23298993,-101.68407974,Deep,HUGHES 1D
116229,115952,22739572.0,10400.0,12000.0,40000.0,2018-01-23,32.404237,-101.631437,Deep,BLAGRAVE SWD 19 1
116454,116469,32942144.0,12055.0,14000.0,30000.0,2018-07-12,31.996664,-102.027305,Deep,RANCHLAND 5 2D
116774,122913,31743017.0,10642.0,11860.0,50000.0,2020-05-19,32.304956,-101.703859,Deep,BEAVER SWD 1D
117367,123924,31700000.0,10500.0,12000.0,24500.0,2020-07-29,32.35074165,-101.71429617,Deep,HUGHES 44 SWD 1
102308,119416,31742449.0,10600.0,12120.0,50000.0,2019-10-21,32.45681481,-101.74343649,Deep,TRITON SWD 1
102531,115480,22739038.0,10118.0,10470.0,30000.0,2017-08-11,32.20152147,-101.47483962,Deep,FLETCH 1
102910,115597,22739198.0,8850.0,12500.0,20000.0,2017-09-11,32.41399,-101.567019,Deep,SHROYER 2D
104614,115807,32942752.0,13500.0,15000.0,30000.0,2017-11-28,31.97406308,-102.21666868,Deep,RATTLER 1D
104730,116382,31741297.0,11000.0,14000.0,40000.0,2018-06-11,32.3740519,-101.9743567,Deep,HECKER 2D
105384,115644,32941758.0,11100.0,13418.0,30000.0,2017-09-20,31.8593,-102.0629056,Deep,MORELAND 4 3W
106350,114255,32941191.0,12250.0,14900.0,24000.0,2016-09-06,31.944645,-102.251751,Deep,DJK 48 SWD 1
107488,105146,30131671.0,4950.0,6055.0,20000.0,2012-05-14,31.8116345,-103.5592209,Deep,DIMMIT 28 1D
107906,117157,10933316.0,11916.0,13100.0,90000.0,2018-10-30,31.915107,-104.3027754,Deep,DR A BRIGHTON 31 SWD 1
108342,116093,10933166.0,14500.0,16500.0,100000.0,2018-03-05,31.94728703,-104.10434233,Deep,HAY BRANDON 19 SWD 1
108501,109201,32939064.0,8500.0,13600.0,30000.0,2014-01-27,31.95821611,-102.16961306,Deep,SPANISH TRAIL 200SW
109283,116169,22739442.0,8450.0,11436.0,20000.0,2018-03-28,32.485752,-101.582871,Deep,MIDDLETON 2 2D
109317,116209,22739276.0,10100.0,11500.0,30000.0,2018-04-16,32.2995556,-101.4938889,Deep,BADGER SWD 1
109571,107930,32931214.0,5850.0,14500.0,30000.0,2013-07-24,32.01604783,-102.21448337,Deep,"FEE AA"""" 1"
109794,114946,10933026.0,15000.0,16500.0,50000.0,2017-02-23,31.86462427,-104.07646564,Deep,HAY ZOELLE 9 SWD 1
110030,111641,10932782.0,13810.0,14800.0,50000.0,2014-12-30,31.81591015,-104.1945797,Deep,ELWOOD 29 FEE SWD 1
112109,116353,38936799.0,14750.0,17600.0,80000.0,2018-06-01,31.9884804,-104.0196344,Deep,HWY 285 SWD 3
117456,119372,47500000.0,7105.0,8305.0,20000.0,2019-10-16,31.431788,-103.292128,Deep,ARCO STATE 29D
119221,112479,32940316.0,13400.0,14500.0,20000.0,2015-06-01,31.959118,-102.198487,Deep,HMW 1
119314,103009,342169.0,4800.0,15000.0,30000.0,2011-02-10,32.13642447,-102.26834078,Deep,"FEE BM"""" 1"
120139,117944,348054.0,12700.0,15500.0,60000.0,2019-03-08,32.253424,-102.261496,Deep,MABEE 12 SWD 1
120416,119908,31742755.0,10500.0,13000.0,30000.0,2019-12-10,32.4038408,-101.7392368,Deep,GORGON 1
123147,102741,342160.0,11200.0,13280.0,20000.0,2011-04-14,32.25721649,-102.26528128,Deep,MABEE 240 4001
123810,124792,10933663.0,2650.0,5900.0,20000.0,2021-07-22,31.75354988,-104.13783344,Deep,I TAKE IT ALL C SWD 2
123849,124791,10933662.0,2650.0,5900.0,20000.0,2021-07-22,31.75367483,-104.14958099,Deep,I TAKE IT ALL C SWD 1
123885,124970,22741307.0,9248.0,10000.0,20000.0,2021-11-19,32.374405,-101.338078,Deep,BUCHANAN 3111 1XD
118816,122137,41535518.0,7130.0,7520.0,20000.0,2020-04-03,32.71440898,-100.6906361,Deep,STEAKHOUSE 1WD
119332,116373,22739550.0,10450.0,11580.0,40000.0,2018-06-07,32.4445805,-101.6447666,Deep,ROBINSON 6 1D
119700,103236,10932395.0,13900.0,15150.0,50000.0,2011-06-03,31.90386751,-104.19442427,Deep,SPEND A BUCK 41 FEE 1
120184,114496,32941199.0,13490.0,15000.0,30000.0,2016-11-08,31.97349817,-102.19612409,Deep,HMW 2
121288,124499,15133088.0,6780.0,7130.0,20000.0,2020-12-08,32.83498037,-100.55312785,Deep,DJ 130 1WD
122610,124651,31743409.0,12275.0,13900.0,20000.0,2021-03-26,32.421598,-102.119824,Deep,BREEDLOVE URSA 2D
123646,124848,38900000.0,3075.0,6500.0,20000.0,2021-09-01,31.738732,-103.931074,Deep,CREOLE SWD 1
123828,124906,22700000.0,9450.0,10350.0,20000.0,2021-10-12,32.360803,-101.365115,Deep,FRYAR 3S 2XD
125480,0,39900001.0,5000.0,10000.0,,,32.0,-100.0,Deep,Example 1
123879,124948,10933771.0,2220.0,5310.0,40000.0,2021-11-04,31.900962,-104.149382,Deep,NEEDLES 39 SWD 3
124732,125281,22742166.0,9100.0,10100.0,30000.0,2022-06-02,32.421754,-101.312384,Deep,EAST 350 SWD 1
124733,12607,3332638.0,7300.0,8100.0,20000.0,2023-07-31,32.52644,-101.275081,Deep,SHAFER SWD 1
112395,115277,31740804.0,10200.0,14000.0,40000.0,2017-06-01,32.35661539,-101.76173554,Deep,WILBANKS 16 6D
113088,115809,3332432.0,8000.0,12500.0,25000.0,2017-11-28,32.54079203,-101.54362732,Deep,DRAGON 1D
113097,106088,38932764.0,4098.0,7041.0,20000.0,2012-11-30,31.76512943,-103.95799647,Deep,FORTUNE 57-3 1
114115,111251,335552.0,4650.0,8500.0,20000.0,2014-11-12,32.133533,-102.261864,Deep,"FEE BM"""" 2SW"
115133,114801,22739119.0,9730.0,10800.0,35000.0,2017-01-12,32.309861,-101.418274,Deep,N. MIDWAY SWD 1
115135,114807,22739098.0,7879.0,13000.0,35000.0,2017-01-17,32.4633568,-101.4104497,Deep,846 SWD 2
115592,121032,31742527.0,10573.0,11553.0,80000.0,2020-02-12,32.295713,-101.734142,Deep,JAKE THE SNAKE SWD 1
116353,116271,22739488.0,10300.0,13000.0,20000.0,2018-05-04,32.209659,-101.617028,Deep,WHISTLING DUCK 1D
117475,119465,10933588.0,11520.0,12800.0,100000.0,2019-11-01,31.8650448,-104.3712496,Deep,TR UE BLUE SWD 1
117584,117949,31742432.0,11350.0,12200.0,30000.0,2019-03-12,32.166635,-101.725256,Deep,SALT LAKE SWD 1
117877,124519,3300000.0,9850.0,11500.0,20000.0,2020-12-21,32.60790341,-101.5843336,Deep,BRAHMA SWD 1
118325,118230,31742062.0,12200.0,14800.0,50000.0,2019-04-17,32.40535693,-102.10338352,Deep,CORSICA SWD 1
119322,116360,32942355.0,11100.0,13050.0,40000.0,2018-06-04,32.0456241,-101.8871822,Deep,"EPLEY, L.B. 18D"
119388,116514,47537674.0,6500.0,8200.0,30000.0,2018-07-20,31.435014,-103.307794,Deep,SECTION 57 20D
